position,equipe,points,victoires,defaites,buts_pour,ratio_victoires,buts_moyenne
1,Paris Saint Germain,84,26,2,92,86.7,3.07
2,Marseille,65,20,9,74,66.7,2.47
3,Monaco,61,18,9,63,60.0,2.1
4,Nice,60,17,8,66,56.7,2.2
5,Lille,60,17,8,52,56.7,1.73
6,Lyon,57,17,11,65,56.7,2.17
7,Strasbourg,57,16,9,56,53.3,1.87
8,Lens,52,15,12,42,50.0,1.4
9,Stade Brestois 29,50,15,14,52,50.0,1.73
10,Toulouse,42,11,14,44,36.7,1.47
11,Auxerre,42,11,14,48,36.7,1.6
12,Rennes,41,13,19,51,43.3,1.7
13,Nantes,36,8,14,39,26.7,1.3
14,Angers,36,10,18,32,33.3,1.07
15,Le Havre,34,10,20,40,33.3,1.33
16,Reims,33,8,17,33,26.7,1.1
17,Saint Etienne,30,8,20,39,26.7,1.3
18,Montpellier,16,4,26,23,13.3,0.77
